seed,scope,independence,publisher_engine,verifier_engine,injection,applicable,detected,detection_layer,pipeline_outcome,authorization_basis,attribution_class,attributed_as,expected_detected,expected_layer,oracle_match,independence_level,source_lineage,parser_lineage,semantics_core_lineage,build_toolchain,runtime_backend,dependency_set,hardware_architecture,operator_or_organization,source_lineage_relation,source_lineage_provenance,source_lineage_evidence_ref,parser_lineage_relation,parser_lineage_provenance,parser_lineage_evidence_ref,semantics_core_lineage_relation,semantics_core_lineage_provenance,semantics_core_lineage_evidence_ref,build_toolchain_relation,build_toolchain_provenance,build_toolchain_evidence_ref,runtime_backend_relation,runtime_backend_provenance,runtime_backend_evidence_ref,dependency_set_relation,dependency_set_provenance,dependency_set_evidence_ref,hardware_architecture_relation,hardware_architecture_provenance,hardware_architecture_evidence_ref,operator_or_organization_relation,operator_or_organization_provenance,operator_or_organization_evidence_ref
20260718,A0,I0,E3,E3,clean,yes,no,none,not_reexecuted,none,none,none,no,none,yes,same-artifact rerun,same,same,same,same,same,same,same,same,Shared,VerifierEstablished,sha256:b6cb070db4ed5cfb69017d4a5ae79616011d7b5327197193eee18e7c45894c88,Shared,VerifierEstablished,sha256:86ead7aced88eee65424669a0d86f366499b4006dcf5b8ebf976bf3e1a87117c,Shared,VerifierEstablished,sha256:1806ecbe81e329e4095a501608a9facebdd0ec8a56f477cc71be6a000d8e4542,Shared,VerifierEstablished,sha256:48127aa4ec972ae5f973140484ce287fc361c3b8caa4a670d0937be8288682c7,Shared,VerifierEstablished,sha256:9a532399192577c5b64c6f103f80aa046d0a6a70acb249fbe129cddd76db404e,Shared,VerifierEstablished,sha256:c571ca67e9023b08367c4f90fd8d789fd7c6f665b955e10a7ce22970af2a90bb,Shared,VerifierEstablished,sha256:ebaba95c73bd875c01242773bd15ed9336de942a11fa8603ace2e426584d8617,Shared,VerifierEstablished,sha256:727fd67d99a17c69c9c193c6b07fa86adbbeb4f6a4421cbe570aab68a9e28c74
20260718,A0,I0,E3,E3,stale-1,no,n/a,not_applicable,not_applicable,none,tamper,none,n/a,not_applicable,yes,same-artifact rerun,same,same,same,same,same,same,same,same,Shared,VerifierEstablished,sha256:b6cb070db4ed5cfb69017d4a5ae79616011d7b5327197193eee18e7c45894c88,Shared,VerifierEstablished,sha256:86ead7aced88eee65424669a0d86f366499b4006dcf5b8ebf976bf3e1a87117c,Shared,VerifierEstablished,sha256:1806ecbe81e329e4095a501608a9facebdd0ec8a56f477cc71be6a000d8e4542,Shared,VerifierEstablished,sha256:48127aa4ec972ae5f973140484ce287fc361c3b8caa4a670d0937be8288682c7,Shared,VerifierEstablished,sha256:9a532399192577c5b64c6f103f80aa046d0a6a70acb249fbe129cddd76db404e,Shared,VerifierEstablished,sha256:c571ca67e9023b08367c4f90fd8d789fd7c6f665b955e10a7ce22970af2a90bb,Shared,VerifierEstablished,sha256:ebaba95c73bd875c01242773bd15ed9336de942a11fa8603ace2e426584d8617,Shared,VerifierEstablished,sha256:727fd67d99a17c69c9c193c6b07fa86adbbeb4f6a4421cbe570aab68a9e28c74
20260718,A0,I0,E3,E3,stale-2,yes,yes,nonce+freshness,rejected,none,stale,stale,yes,nonce+freshness,yes,same-artifact rerun,same,same,same,same,same,same,same,same,Shared,VerifierEstablished,sha256:b6cb070db4ed5cfb69017d4a5ae79616011d7b5327197193eee18e7c45894c88,Shared,VerifierEstablished,sha256:86ead7aced88eee65424669a0d86f366499b4006dcf5b8ebf976bf3e1a87117c,Shared,VerifierEstablished,sha256:1806ecbe81e329e4095a501608a9facebdd0ec8a56f477cc71be6a000d8e4542,Shared,VerifierEstablished,sha256:48127aa4ec972ae5f973140484ce287fc361c3b8caa4a670d0937be8288682c7,Shared,VerifierEstablished,sha256:9a532399192577c5b64c6f103f80aa046d0a6a70acb249fbe129cddd76db404e,Shared,VerifierEstablished,sha256:c571ca67e9023b08367c4f90fd8d789fd7c6f665b955e10a7ce22970af2a90bb,Shared,VerifierEstablished,sha256:ebaba95c73bd875c01242773bd15ed9336de942a11fa8603ace2e426584d8617,Shared,VerifierEstablished,sha256:727fd67d99a17c69c9c193c6b07fa86adbbeb4f6a4421cbe570aab68a9e28c74
20260718,A0,I0,E3,E3,stale-3,no,n/a,not_applicable,not_applicable,none,stale,none,n/a,not_applicable,yes,same-artifact rerun,same,same,same,same,same,same,same,same,Shared,VerifierEstablished,sha256:b6cb070db4ed5cfb69017d4a5ae79616011d7b5327197193eee18e7c45894c88,Shared,VerifierEstablished,sha256:86ead7aced88eee65424669a0d86f366499b4006dcf5b8ebf976bf3e1a87117c,Shared,VerifierEstablished,sha256:1806ecbe81e329e4095a501608a9facebdd0ec8a56f477cc71be6a000d8e4542,Shared,VerifierEstablished,sha256:48127aa4ec972ae5f973140484ce287fc361c3b8caa4a670d0937be8288682c7,Shared,VerifierEstablished,sha256:9a532399192577c5b64c6f103f80aa046d0a6a70acb249fbe129cddd76db404e,Shared,VerifierEstablished,sha256:c571ca67e9023b08367c4f90fd8d789fd7c6f665b955e10a7ce22970af2a90bb,Shared,VerifierEstablished,sha256:ebaba95c73bd875c01242773bd15ed9336de942a11fa8603ace2e426584d8617,Shared,VerifierEstablished,sha256:727fd67d99a17c69c9c193c6b07fa86adbbeb4f6a4421cbe570aab68a9e28c74
20260718,A0,I0,E3,E3,semantics-version-drift,no,n/a,not_applicable,not_applicable,none,version-drift,none,n/a,not_applicable,yes,same-artifact rerun,same,same,same,same,same,same,same,same,Shared,VerifierEstablished,sha256:b6cb070db4ed5cfb69017d4a5ae79616011d7b5327197193eee18e7c45894c88,Shared,VerifierEstablished,sha256:86ead7aced88eee65424669a0d86f366499b4006dcf5b8ebf976bf3e1a87117c,Shared,VerifierEstablished,sha256:1806ecbe81e329e4095a501608a9facebdd0ec8a56f477cc71be6a000d8e4542,Shared,VerifierEstablished,sha256:48127aa4ec972ae5f973140484ce287fc361c3b8caa4a670d0937be8288682c7,Shared,VerifierEstablished,sha256:9a532399192577c5b64c6f103f80aa046d0a6a70acb249fbe129cddd76db404e,Shared,VerifierEstablished,sha256:c571ca67e9023b08367c4f90fd8d789fd7c6f665b955e10a7ce22970af2a90bb,Shared,VerifierEstablished,sha256:ebaba95c73bd875c01242773bd15ed9336de942a11fa8603ace2e426584d8617,Shared,VerifierEstablished,sha256:727fd67d99a17c69c9c193c6b07fa86adbbeb4f6a4421cbe570aab68a9e28c74
20260718,A0,I0,E3,E3,single-operation-backend-fault,no,n/a,not_applicable,not_applicable,none,engine-fault,none,n/a,not_applicable,yes,same-artifact rerun,same,same,same,same,same,same,same,same,Shared,VerifierEstablished,sha256:b6cb070db4ed5cfb69017d4a5ae79616011d7b5327197193eee18e7c45894c88,Shared,VerifierEstablished,sha256:86ead7aced88eee65424669a0d86f366499b4006dcf5b8ebf976bf3e1a87117c,Shared,VerifierEstablished,sha256:1806ecbe81e329e4095a501608a9facebdd0ec8a56f477cc71be6a000d8e4542,Shared,VerifierEstablished,sha256:48127aa4ec972ae5f973140484ce287fc361c3b8caa4a670d0937be8288682c7,Shared,VerifierEstablished,sha256:9a532399192577c5b64c6f103f80aa046d0a6a70acb249fbe129cddd76db404e,Shared,VerifierEstablished,sha256:c571ca67e9023b08367c4f90fd8d789fd7c6f665b955e10a7ce22970af2a90bb,Shared,VerifierEstablished,sha256:ebaba95c73bd875c01242773bd15ed9336de942a11fa8603ace2e426584d8617,Shared,VerifierEstablished,sha256:727fd67d99a17c69c9c193c6b07fa86adbbeb4f6a4421cbe570aab68a9e28c74
20260718,A0,I0,E3,E3,final-result-equal-trace-differs,no,n/a,not_applicable,not_applicable,none,engine-fault,none,n/a,not_applicable,yes,same-artifact rerun,same,same,same,same,same,same,same,same,Shared,VerifierEstablished,sha256:b6cb070db4ed5cfb69017d4a5ae79616011d7b5327197193eee18e7c45894c88,Shared,VerifierEstablished,sha256:86ead7aced88eee65424669a0d86f366499b4006dcf5b8ebf976bf3e1a87117c,Shared,VerifierEstablished,sha256:1806ecbe81e329e4095a501608a9facebdd0ec8a56f477cc71be6a000d8e4542,Shared,VerifierEstablished,sha256:48127aa4ec972ae5f973140484ce287fc361c3b8caa4a670d0937be8288682c7,Shared,VerifierEstablished,sha256:9a532399192577c5b64c6f103f80aa046d0a6a70acb249fbe129cddd76db404e,Shared,VerifierEstablished,sha256:c571ca67e9023b08367c4f90fd8d789fd7c6f665b955e10a7ce22970af2a90bb,Shared,VerifierEstablished,sha256:ebaba95c73bd875c01242773bd15ed9336de942a11fa8603ace2e426584d8617,Shared,VerifierEstablished,sha256:727fd67d99a17c69c9c193c6b07fa86adbbeb4f6a4421cbe570aab68a9e28c74
20260718,A0,I0,E3,E3,outcome-confusion,no,n/a,not_applicable,not_applicable,none,outcome,none,n/a,not_applicable,yes,same-artifact rerun,same,same,same,same,same,same,same,same,Shared,VerifierEstablished,sha256:b6cb070db4ed5cfb69017d4a5ae79616011d7b5327197193eee18e7c45894c88,Shared,VerifierEstablished,sha256:86ead7aced88eee65424669a0d86f366499b4006dcf5b8ebf976bf3e1a87117c,Shared,VerifierEstablished,sha256:1806ecbe81e329e4095a501608a9facebdd0ec8a56f477cc71be6a000d8e4542,Shared,VerifierEstablished,sha256:48127aa4ec972ae5f973140484ce287fc361c3b8caa4a670d0937be8288682c7,Shared,VerifierEstablished,sha256:9a532399192577c5b64c6f103f80aa046d0a6a70acb249fbe129cddd76db404e,Shared,VerifierEstablished,sha256:c571ca67e9023b08367c4f90fd8d789fd7c6f665b955e10a7ce22970af2a90bb,Shared,VerifierEstablished,sha256:ebaba95c73bd875c01242773bd15ed9336de942a11fa8603ace2e426584d8617,Shared,VerifierEstablished,sha256:727fd67d99a17c69c9c193c6b07fa86adbbeb4f6a4421cbe570aab68a9e28c74
20260718,A0,I0,E3,E3,diagnostics-promoted-as-success,no,n/a,not_applicable,not_applicable,none,outcome,none,n/a,not_applicable,yes,same-artifact rerun,same,same,same,same,same,same,same,same,Shared,VerifierEstablished,sha256:b6cb070db4ed5cfb69017d4a5ae79616011d7b5327197193eee18e7c45894c88,Shared,VerifierEstablished,sha256:86ead7aced88eee65424669a0d86f366499b4006dcf5b8ebf976bf3e1a87117c,Shared,VerifierEstablished,sha256:1806ecbe81e329e4095a501608a9facebdd0ec8a56f477cc71be6a000d8e4542,Shared,VerifierEstablished,sha256:48127aa4ec972ae5f973140484ce287fc361c3b8caa4a670d0937be8288682c7,Shared,VerifierEstablished,sha256:9a532399192577c5b64c6f103f80aa046d0a6a70acb249fbe129cddd76db404e,Shared,VerifierEstablished,sha256:c571ca67e9023b08367c4f90fd8d789fd7c6f665b955e10a7ce22970af2a90bb,Shared,VerifierEstablished,sha256:ebaba95c73bd875c01242773bd15ed9336de942a11fa8603ace2e426584d8617,Shared,VerifierEstablished,sha256:727fd67d99a17c69c9c193c6b07fa86adbbeb4f6a4421cbe570aab68a9e28c74
20260718,A0,I0,E3,E3,shared-rust-lineage-fault,no,n/a,not_applicable,not_applicable,none,engine-fault,none,n/a,not_applicable,yes,same-artifact rerun,same,same,same,same,same,same,same,same,Shared,VerifierEstablished,sha256:b6cb070db4ed5cfb69017d4a5ae79616011d7b5327197193eee18e7c45894c88,Shared,VerifierEstablished,sha256:86ead7aced88eee65424669a0d86f366499b4006dcf5b8ebf976bf3e1a87117c,Shared,VerifierEstablished,sha256:1806ecbe81e329e4095a501608a9facebdd0ec8a56f477cc71be6a000d8e4542,Shared,VerifierEstablished,sha256:48127aa4ec972ae5f973140484ce287fc361c3b8caa4a670d0937be8288682c7,Shared,VerifierEstablished,sha256:9a532399192577c5b64c6f103f80aa046d0a6a70acb249fbe129cddd76db404e,Shared,VerifierEstablished,sha256:c571ca67e9023b08367c4f90fd8d789fd7c6f665b955e10a7ce22970af2a90bb,Shared,VerifierEstablished,sha256:ebaba95c73bd875c01242773bd15ed9336de942a11fa8603ace2e426584d8617,Shared,VerifierEstablished,sha256:727fd67d99a17c69c9c193c6b07fa86adbbeb4f6a4421cbe570aab68a9e28c74
